host,port,protocol,source
156.245.246.51,7890,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
65.108.142.59,10047,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
39.172.97.192,8060,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
198.8.94.174,39078,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
181.214.39.51,5719,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
45.43.81.2,5649,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
199.66.183.226,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
123.0.18.42,10000,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
118.145.141.251,44050,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
82.26.208.101,5408,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
